Name,FeatureId,Kind,Part,Vertex,X,Y,Z
"osm_way_568973395_0_1","osm:way/568973395","green",0,1,54966.752466568076,22213.85580328577,-2.7523949923988766
"osm_way_568973395_0_2","osm:way/568973395","green",0,2,54966.68666384762,21401.180801214636,-2.724547604708505
"osm_way_568973395_0_3","osm:way/568973395","green",0,3,54429.94539022262,20985.30738470484,-2.6647435349772763
"osm_way_568973395_0_4","osm:way/568973395","green",0,4,54492.52023415262,21654.111140432524,-2.6924783082009185
"osm_way_568973399_0_0","osm:way/568973399","green",0,0,54966.82889491326,23157.760421099803,-2.7860413775613324
"osm_way_568973399_0_1","osm:way/568973399","green",0,1,53956.643675900865,21900.791067849135,-2.6554312323426643
"osm_way_568973399_0_2","osm:way/568973399","green",0,2,53807.15139064218,20754.273603762074,-2.604407791895369
"osm_way_568973399_0_3","osm:way/568973399","green",0,3,52633.81388492896,20093.333655660863,-2.485449512853677
"osm_way_568973399_0_4","osm:way/568973399","green",0,4,54106.31142806433,35430.268068269594,-3.277364582245923
"osm_way_568973399_0_5","osm:way/568973399","green",0,5,54967.81804706752,35374.11329264022,-3.347789838562676
"osm_way_568973399_0_6","osm:way/568973399","green",0,6,54966.82889491326,23157.760421099803,-2.7860413775613324
"osm_way_568973400_0_0","osm:way/568973400","road",0,0,54966.79050459395,22683.632499674673,-2.7689655972096716
"osm_way_568973400_0_1","osm:way/568973400","road",0,1,54230.26548563172,21774.11776909525,-2.67425508702388
"osm_way_568973400_0_2","osm:way/568973400","road",0,2,54028.78372445721,20333.19532004988,-2.6095242191189527
"osm_way_663317530_0_0","osm:way/663317530","road",0,0,-32258.44651316787,37339.20668366579,-1.9096237807190164
"osm_way_663317530_0_1","osm:way/663317530","road",0,1,-33642.883141647384,37464.679968843135,-1.9884064344068975
"osm_way_663317530_0_2","osm:way/663317530","road",0,2,-33849.93969569112,37483.55629747021,-2.000455711092286
"osm_way_663317530_0_3","osm:way/663317530","road",0,3,-36288.10372694757,37692.29415729881,-2.1466288343759743
"osm_way_663317531_0_0","osm:way/663317531","road",0,0,-40345.73077042252,37692.06512566184,-2.3899953957879916
"osm_way_663317531_0_1","osm:way/663317531","road",0,1,-40780.795899389756,33669.18859227947,-2.192123808680435
"osm_way_663317531_0_2","osm:way/663317531","road",0,2,-40660.59836447456,33255.912054235305,-2.162736224602213
"osm_way_663317531_0_3","osm:way/663317531","road",0,3,-40214.00289726246,33125.954252132244,-2.1276904403521257
"osm_way_663317531_0_4","osm:way/663317531","road",0,4,-34041.326700518664,32678.5677912653,-1.7458142264530352
"osm_way_663317531_0_5","osm:way/663317531","road",0,5,-32705.616393444427,32511.986783817458,-1.6675033307762988
"osm_way_683739396_0_0","osm:way/683739396","building",0,0,-40201.467089148995,-308.931468117527,-1.2650329029690432
"osm_way_683739396_0_1","osm:way/683739396","building",0,1,-39284.785152902004,-384.424329421522,-1.2080441448716117
"osm_way_683739396_0_2","osm:way/683739396","building",0,2,-39312.37153311397,-721.05238658849,-1.2100335197898993
"osm_way_683739396_0_3","osm:way/683739396","building",0,3,-39800.34808679868,-681.0855997800275,-1.2402056294813946
"osm_way_683739396_0_4","osm:way/683739396","building",0,4,-39878.23785913942,-1637.6425966536892,-1.2468053611057073
"osm_way_683739396_0_5","osm:way/683739396","building",0,5,-40307.75406026635,-1603.2276343970054,-1.2736746007493416
"osm_way_683739396_0_6","osm:way/683739396","building",0,6,-40201.467089148995,-308.931468117527,-1.2650329029690432
"osm_way_683739397_0_0","osm:way/683739397","green",0,0,-6303.136511560187,6671.395703609673,-0.06605643344101964
"osm_way_683739397_0_1","osm:way/683739397","green",0,1,-6448.477202960926,6920.253474306986,-0.07016376318702555
"osm_way_683739397_0_2","osm:way/683739397","green",0,2,-6396.518274483091,7517.960279419934,-0.07642004269428071
"osm_way_683739397_0_3","osm:way/683739397","green",0,3,-6527.247858828589,8154.549582025647,-0.08557923334819861
"osm_way_683739397_0_4","osm:way/683739397","green",0,4,-6130.210903335258,8762.258389859098,-0.08972107707023724
"osm_way_683739397_0_5","osm:way/683739397","green",0,5,-6151.319247841486,8506.733200651573,-0.08645791646628709
"osm_way_683739397_0_6","osm:way/683739397","green",0,6,-6303.136511560187,6671.395703609673,-0.06605643344101964
"osm_way_683739398_0_0","osm:way/683739398","green",0,0,-6434.655886918353,4997.150168320395,-0.05202216308468621
"osm_way_683739398_0_1","osm:way/683739398","green",0,1,-6611.659854251899,5016.0350986176045,-0.05397810648162249
"osm_way_683739398_0_2","osm:way/683739398","green",0,2,-6778.113850968593,5564.85674299807,-0.06028393625108208
"osm_way_683739398_0_3","osm:way/683739398","green",0,3,-6344.5397019605025,6023.694973024908,-0.06000736879059332
"osm_way_683739398_0_4","osm:way/683739398","green",0,4,-6434.655886918353,4997.150168320395,-0.05202216308468621
"osm_way_683739399_0_0","osm:way/683739399","green",0,0,-6627.875324926387,2618.543687991441,-0.03976868655648502
"osm_way_683739399_0_1","osm:way/683739399","green",0,1,-6943.724975905826,3064.0428507362467,-0.04511234654724916
"osm_way_683739399_0_2","osm:way/683739399","green",0,2,-6639.2581260864135,4216.130436389672,-0.04846364982071805
"osm_way_683739399_0_3","osm:way/683739399","green",0,3,-6486.615098490501,4452.770296129138,-0.04850682037940146
"osm_way_683739399_0_4","osm:way/683739399","green",0,4,-6627.875324926387,2618.543687991441,-0.03976868655648502
"osm_way_683739400_0_0","osm:way/683739400","green",0,0,-6320.14931120531,2582.9953153445545,-0.036504757514421726
"osm_way_683739400_0_1","osm:way/683739400","green",0,1,-6195.123485970393,4018.380491830584,-0.04272310360136089
